order_id,customer_id,city,order_time,restaurant,cuisine,delivery_time_mins,order_value,rating,delivery_partner
ORD100032,CUST3114,Hyderabad,2024-12-17 19:27:18.894866,Restaurant_9,Italian,39,491.22,5.0,Rider_271
ORD100033,CUST2556,Bengaluru,2025-11-05 19:09:52.894866,Restaurant_34,Middle Eastern,27,379.03,5.0,Rider_34
ORD100034,CUST2557,Bengaluru,2025-11-11 08:37:05.894866,Restaurant_55,Chinese,35,244.47,5.0,Rider_190
ORD100035,CUST3222,Bengaluru,2025-09-14 09:54:34.894866,Restaurant_103,South Indian,17,159.26,5.0,Rider_16
ORD100036,CUST2214,Bengaluru,2025-03-15 18:04:24.894866,Restaurant_116,Fast Food,43,107.9,5.0,Rider_407
ORD100037,CUST3332,Delhi,2024-12-29 12:35:25.894866,Restaurant_79,Italian,74,273.29,5.0,Rider_289
ORD100038,CUST1304,Ahmedabad,2025-07-31 20:17:59.894866,Restaurant_113,Continental,40,676.09,5.0,Rider_126
ORD100039,CUST3922,Hyderabad,2025-05-03 20:07:01.894866,Restaurant_12,Fast Food,47,157.55,3.0,Rider_93
ORD100040,CUST1792,Delhi,2025-01-07 13:35:00.894866,Restaurant_58,Chinese,42,319.12,5.0,Rider_480
ORD100041,CUST1406,Kolkata,2025-05-23 09:00:31.894866,Restaurant_187,Indian,39,173.89,4.0,Rider_32
ORD100042,CUST1331,Kolkata,2024-12-06 21:35:38.894866,Restaurant_68,Chinese,45,360.8,,Rider_400
ORD100043,CUST3352,Mumbai,2025-10-21 21:56:49.894866,Restaurant_17,Chinese,38,226.12,,Rider_79
ORD100044,CUST3037,Mumbai,2025-02-26 22:07:26.894866,Restaurant_158,Italian,38,265.7,4.0,Rider_213
ORD100045,CUST3966,Hyderabad,2025-07-23 13:58:51.894866,Restaurant_191,Fast Food,44,278.79,4.0,Rider_28
ORD100046,CUST2796,Delhi,2025-03-17 13:20:32.894866,Restaurant_190,South Indian,44,214.54,5.0,Rider_142
ORD100047,CUST3716,Hyderabad,2025-06-01 23:17:34.894866,Restaurant_190,Fast Food,39,160.33,5.0,Rider_378
ORD100048,CUST3820,Hyderabad,2025-06-11 14:36:18.894866,Restaurant_18,South Indian,44,186.55,5.0,Rider_277
ORD100049,CUST1550,Delhi,2025-01-30 23:33:21.894866,Restaurant_149,Indian,28,218.57,5.0,Rider_216
ORD100050,CUST2360,Hyderabad,2025-11-12 13:01:07.894866,Restaurant_163,Fast Food,46,211.07,5.0,Rider_377
ORD100051,CUST2053,Hyderabad,2025-09-02 05:42:58.894866,Restaurant_145,South Indian,41,91.68,4.0,Rider_99
ORD100052,CUST1439,Delhi,2025-11-01 09:44:00.894866,Restaurant_89,Fast Food,23,66.27,5.0,Rider_486
ORD100053,CUST1257,Pune,2025-10-16 08:04:41.894866,Restaurant_182,Chinese,12,311.82,5.0,Rider_491
ORD100054,CUST1782,Mumbai,2025-06-30 17:57:20.894866,Restaurant_152,Indian,18,97.53,5.0,Rider_327
ORD100055,CUST3610,Mumbai,2025-10-26 21:04:24.894866,Restaurant_15,Fast Food,52,59.88,5.0,Rider_159
ORD100056,CUST2814,Kolkata,2024-12-26 19:07:16.894866,Restaurant_85,Continental,46,723.82,5.0,Rider_22
ORD100057,CUST1233,Chennai,2025-02-03 05:48:39.894866,Restaurant_76,Chinese,48,317.51,4.0,Rider_25
ORD100058,CUST3073,Hyderabad,2024-12-10 06:46:38.894866,Restaurant_14,Continental,32,584.7,4.0,Rider_46
ORD100059,CUST3570,Kolkata,2025-03-22 07:08:27.894866,Restaurant_175,Chinese,38,182.52,5.0,Rider_42
ORD100060,CUST3431,Pune,2025-04-14 21:46:17.894866,Restaurant_110,Indian,86,371.64,5.0,Rider_388
ORD100061,CUST1392,Delhi,2025-03-02 09:53:49.894866,Restaurant_92,Fast Food,34,243.37,5.0,Rider_33
ORD100062,CUST1461,Hyderabad,2025-09-22 02:13:43.894866,Restaurant_92,Continental,36,288.37,5.0,Rider_100
ORD100063,CUST2751,Delhi,2025-04-03 03:12:15.894866,Restaurant_31,Italian,35,480.97,5.0,Rider_346
ORD100064,CUST1838,Bengaluru,2025-03-06 04:51:24.894866,Restaurant_100,Middle Eastern,44,368.35,4.0,Rider_438
ORD100065,CUST3784,Bengaluru,2025-06-09 13:37:38.894866,Restaurant_58,Middle Eastern,62,423.28,5.0,Rider_413
ORD100066,CUST1109,Bengaluru,2025-01-14 23:47:40.894866,Restaurant_168,Italian,63,690.34,4.0,Rider_303
ORD100067,CUST2498,Bengaluru,2025-09-12 12:43:50.894866,Restaurant_190,Continental,40,476.68,4.0,Rider_70
ORD100068,CUST2351,Chennai,2024-12-21 22:54:00.894866,Restaurant_182,Middle Eastern,70,578.05,,Rider_467
ORD100069,CUST1205,Mumbai,2025-11-19 22:20:21.894866,Restaurant_188,Italian,43,197.15,4.0,Rider_498
ORD100070,CUST2094,Chennai,2025-09-01 04:48:02.894866,Restaurant_93,Chinese,28,235.41,3.0,Rider_312
ORD100071,CUST1209,Delhi,2025-02-04 22:32:54.894866,Restaurant_139,Fast Food,48,154.69,3.0,Rider_153
ORD100072,CUST1184,Ahmedabad,2024-11-25 22:04:06.894866,Restaurant_154,South Indian,58,162.16,5.0,Rider_314
ORD100073,CUST3649,Mumbai,2025-09-17 20:48:21.894866,Restaurant_27,Fast Food,87,181.53,5.0,Rider_202
ORD100074,CUST3806,Kolkata,2025-08-08 11:03:07.894866,Restaurant_30,Indian,25,263.82,5.0,Rider_356
ORD100075,CUST2406,Chennai,2025-08-16 04:44:25.894866,Restaurant_53,South Indian,12,216.13,5.0,Rider_48
ORD100076,CUST3792,Ahmedabad,2025-09-01 07:32:44.894866,Restaurant_37,Indian,38,327.55,5.0,Rider_307
ORD100077,CUST1890,Chennai,2024-12-20 22:52:39.894866,Restaurant_3,Continental,48,691.19,4.0,Rider_107
ORD100078,CUST1398,Delhi,2025-04-03 22:44:08.894866,Restaurant_74,Continental,40,260.85,4.0,Rider_202
ORD100079,CUST3592,Ahmedabad,2025-01-05 18:51:48.894866,Restaurant_96,Fast Food,22,189.44,5.0,Rider_464
ORD100080,CUST3954,Kolkata,2025-10-04 02:50:50.894866,Restaurant_69,Indian,26,196.45,4.0,Rider_399
ORD100081,CUST2682,Ahmedabad,2025-07-09 09:45:49.894866,Restaurant_137,Middle Eastern,12,553.35,5.0,Rider_369
ORD100082,CUST3729,Hyderabad,2025-03-24 20:00:29.894866,Restaurant_154,Chinese,70,436.03,4.0,Rider_226
ORD100083,CUST1977,Bengaluru,2024-12-17 13:14:24.894866,Restaurant_163,Italian,52,647.28,4.0,Rider_430
ORD100084,CUST1313,Chennai,2025-03-17 00:55:02.894866,Restaurant_69,Middle Eastern,10,716.86,5.0,Rider_104
ORD100085,CUST1227,Ahmedabad,2025-03-22 12:39:16.894866,Restaurant_80,Middle Eastern,35,543.33,5.0,Rider_310
ORD100086,CUST3705,Hyderabad,2025-08-17 08:11:28.894866,Restaurant_139,Fast Food,28,242.93,5.0,Rider_438
ORD100087,CUST2169,Bengaluru,2025-07-14 03:52:53.894866,Restaurant_121,South Indian,40,144.42,5.0,Rider_463
ORD100088,CUST3739,Delhi,2025-10-13 21:59:03.894866,Restaurant_158,South Indian,57,198.26,4.0,Rider_65
ORD100089,CUST3347,Mumbai,2025-05-15 05:16:01.894866,Restaurant_113,Indian,28,310.37,5.0,Rider_446
ORD100090,CUST1926,Bengaluru,2025-01-06 09:06:35.894866,Restaurant_149,Italian,43,550.5,5.0,Rider_454
ORD100091,CUST3789,Mumbai,2025-08-11 22:24:40.894866,Restaurant_4,Middle Eastern,68,292.51,4.0,Rider_308
ORD100092,CUST3108,Delhi,2025-08-28 21:55:05.894866,Restaurant_145,Continental,66,372.22,,Rider_147
ORD100093,CUST3355,Chennai,2025-06-16 21:00:50.894866,Restaurant_188,Fast Food,51,65.94,4.0,Rider_427
ORD100094,CUST2846,Bengaluru,2025-09-01 02:00:00.894866,Restaurant_159,Chinese,42,339.07,4.0,Rider_6
ORD100095,CUST1536,Pune,2025-05-23 12:29:31.894866,Restaurant_6,Indian,52,159.84,5.0,Rider_371
ORD100096,CUST1074,Delhi,2025-06-02 21:29:53.894866,Restaurant_116,Fast Food,65,222.31,,Rider_452
ORD100097,CUST2676,Bengaluru,2025-04-28 22:54:43.894866,Restaurant_39,Fast Food,25,225.62,5.0,Rider_138
ORD100098,CUST2441,Delhi,2024-12-03 16:52:14.894866,Restaurant_107,Continental,31,592.7,5.0,Rider_120
ORD100099,CUST2626,Delhi,2025-01-02 22:51:51.894866,Restaurant_118,Italian,54,569.11,4.0,Rider_171
ORD100100,CUST2599,Delhi,2024-12-05 00:00:09.894866,Restaurant_42,Middle Eastern,35,583.29,5.0,Rider_55
ORD100101,CUST3641,Bengaluru,2025-07-14 13:48:07.894866,Restaurant_50,Middle Eastern,43,603.08,4.0,Rider_381
ORD100102,CUST1608,Bengaluru,2025-03-18 08:20:30.894866,Restaurant_27,South Indian,35,50.0,5.0,Rider_119
ORD100103,CUST1611,Bengaluru,2025-05-28 10:05:55.894866,Restaurant_106,Continental,36,685.75,5.0,Rider_246
ORD100104,CUST2020,Chennai,2025-10-21 06:23:08.894866,Restaurant_83,Italian,43,585.23,4.0,Rider_232
ORD100105,CUST1784,Bengaluru,2025-02-22 22:47:50.894866,Restaurant_130,Indian,33,275.89,5.0,Rider_137
ORD100106,CUST1240,Kolkata,2025-04-22 21:35:51.894866,Restaurant_65,Indian,48,291.39,5.0,Rider_321
ORD100107,CUST3052,Bengaluru,2025-08-26 06:43:03.894866,Restaurant_14,Continental,36,489.27,5.0,Rider_179
ORD100108,CUST2238,Delhi,2025-02-15 05:56:29.894866,Restaurant_108,Italian,41,80.48,4.0,Rider_447
ORD100109,CUST2602,Kolkata,2024-12-21 21:48:42.894866,Restaurant_15,Fast Food,53,141.85,3.0,Rider_184
ORD100110,CUST3534,Pune,2025-03-09 20:31:41.894866,Restaurant_179,South Indian,26,72.03,4.0,Rider_209
ORD100111,CUST3404,Hyderabad,2025-01-21 22:25:14.894866,Restaurant_150,Indian,50,105.46,5.0,Rider_233
ORD100112,CUST1393,Delhi,2025-10-29 17:50:18.894866,Restaurant_58,Italian,47,687.18,4.0,Rider_476
ORD100113,CUST2414,Ahmedabad,2025-09-14 04:23:26.894866,Restaurant_81,Indian,33,202.34,5.0,Rider_383
ORD100114,CUST1368,Delhi,2025-07-13 14:46:58.894866,Restaurant_190,South Indian,56,218.82,5.0,Rider_369
ORD100115,CUST3076,Pune,2025-10-07 11:33:26.894866,Restaurant_178,Continental,19,550.84,5.0,Rider_140
ORD100116,CUST2840,Delhi,2025-09-13 08:31:03.894866,Restaurant_169,Chinese,44,440.58,5.0,Rider_46
ORD100117,CUST2446,Bengaluru,2025-01-30 07:21:41.894866,Restaurant_32,Chinese,28,307.84,3.0,Rider_361
ORD100118,CUST1008,Chennai,2025-10-15 13:29:36.894866,Restaurant_161,Continental,26,434.97,5.0,Rider_359
ORD100119,CUST1333,Ahmedabad,2025-06-08 04:02:22.894866,Restaurant_193,Fast Food,29,273.3,5.0,Rider_272
ORD100120,CUST1949,Pune,2025-09-14 19:22:14.894866,Restaurant_41,Fast Food,37,148.58,5.0,Rider_78
ORD100121,CUST3277,Mumbai,2025-10-16 07:30:20.894866,Restaurant_83,Chinese,44,343.81,5.0,Rider_454
ORD100122,CUST1392,Bengaluru,2025-03-19 22:22:31.894866,Restaurant_102,Middle Eastern,52,504.9,4.0,Rider_47
ORD100123,CUST2851,Bengaluru,2025-01-03 22:29:18.894866,Restaurant_124,South Indian,38,113.06,5.0,Rider_444
ORD100124,CUST2331,Pune,2025-02-15 20:52:28.894866,Restaurant_115,Italian,22,661.08,5.0,Rider_57
ORD100125,CUST1778,Bengaluru,2025-04-28 19:46:17.894866,Restaurant_59,Italian,79,736.94,4.0,Rider_63
ORD100126,CUST2698,Hyderabad,2025-09-18 19:06:50.894866,Restaurant_99,Continental,29,331.76,5.0,Rider_286
ORD100127,CUST1386,Pune,2025-10-04 21:55:38.894866,Restaurant_186,Middle Eastern,29,434.45,5.0,Rider_237
ORD100128,CUST3156,Bengaluru,2024-11-26 18:30:12.894866,Restaurant_132,South Indian,39,293.79,5.0,Rider_474
ORD100129,CUST3386,Delhi,2025-05-29 04:22:18.894866,Restaurant_75,Italian,23,215.56,,Rider_84
ORD100130,CUST3612,Hyderabad,2025-04-25 17:55:32.894866,Restaurant_3,Fast Food,29,219.6,5.0,Rider_5
ORD100131,CUST2783,Bengaluru,2025-02-12 22:36:40.894866,Restaurant_119,Italian,46,281.39,4.0,Rider_143
ORD100132,CUST2845,Delhi,2025-01-06 20:54:10.894866,Restaurant_66,Continental,59,488.5,3.0,Rider_378
ORD100133,CUST3880,Mumbai,2025-03-27 21:56:41.894866,Restaurant_36,Italian,60,463.05,5.0,Rider_287
ORD100134,CUST1221,Bengaluru,2025-11-03 19:01:18.894866,Restaurant_151,Middle Eastern,24,252.69,5.0,Rider_402
ORD100135,CUST3344,Chennai,2025-03-21 09:40:07.894866,Restaurant_139,Fast Food,111,122.63,4.0,Rider_77
ORD100136,CUST2866,Kolkata,2025-06-01 10:40:19.894866,Restaurant_163,Continental,73,536.01,5.0,Rider_427
ORD100137,CUST2052,Kolkata,2025-08-07 08:07:59.894866,Restaurant_29,Indian,25,370.47,5.0,Rider_11
ORD100138,CUST1926,Delhi,2025-04-05 22:32:40.894866,Restaurant_61,Continental,64,642.59,5.0,Rider_382
ORD100139,CUST2225,Bengaluru,2025-11-13 07:26:20.894866,Restaurant_190,Chinese,48,127.89,3.0,Rider_492
ORD100140,CUST2831,Pune,2025-11-10 02:20:03.894866,Restaurant_7,Italian,38,581.5,5.0,Rider_256
ORD100141,CUST3532,Bengaluru,2025-02-23 12:30:25.894866,Restaurant_19,Chinese,73,304.31,4.0,Rider_51
ORD100142,CUST1129,Delhi,2025-05-24 21:05:32.894866,Restaurant_70,Chinese,43,233.53,5.0,Rider_396
ORD100143,CUST3095,Bengaluru,2025-03-13 14:38:33.894866,Restaurant_89,South Indian,27,169.39,4.0,Rider_373
ORD100144,CUST1826,Hyderabad,2025-03-07 14:05:01.894866,Restaurant_123,Middle Eastern,34,504.88,5.0,Rider_440
ORD100145,CUST1599,Mumbai,2024-12-07 16:27:00.894866,Restaurant_62,South Indian,30,89.96,5.0,Rider_467
ORD100146,CUST1769,Bengaluru,2025-07-04 03:19:47.894866,Restaurant_23,South Indian,38,154.71,4.0,Rider_403
ORD100147,CUST3618,Bengaluru,2025-05-26 13:50:42.894866,Restaurant_53,Continental,58,329.5,5.0,Rider_385
ORD100148,CUST1456,Hyderabad,2024-12-12 20:11:40.894866,Restaurant_139,Indian,42,180.07,4.0,Rider_142
ORD100149,CUST2072,Ahmedabad,2025-03-05 11:46:39.894866,Restaurant_97,Indian,23,278.82,5.0,Rider_337
ORD100150,CUST3775,Kolkata,2025-10-21 21:13:33.894866,Restaurant_72,Chinese,69,305.12,2.0,Rider_66
ORD100151,CUST2271,Pune,2025-02-19 16:34:54.894866,Restaurant_114,Chinese,28,370.47,4.0,Rider_103
ORD100152,CUST2853,Delhi,2025-01-15 17:49:35.894866,Restaurant_35,Middle Eastern,25,90.84,4.0,Rider_422
ORD100153,CUST3337,Chennai,2025-05-21 21:50:41.894866,Restaurant_141,Chinese,75,271.66,4.0,Rider_469
ORD100154,CUST1534,Delhi,2025-11-18 21:38:04.894866,Restaurant_198,Chinese,67,288.77,4.0,Rider_404
ORD100155,CUST3483,Delhi,2025-02-20 21:46:11.894866,Restaurant_110,Fast Food,53,76.79,3.0,Rider_180
ORD100156,CUST3875,Delhi,2025-07-27 21:11:17.894866,Restaurant_61,Chinese,51,227.72,5.0,Rider_407
ORD100157,CUST2406,Chennai,2025-08-28 22:42:33.894866,Restaurant_167,Middle Eastern,50,426.8,5.0,Rider_94
ORD100158,CUST2119,Chennai,2025-02-18 16:17:56.894866,Restaurant_68,South Indian,28,222.45,5.0,Rider_65
ORD100159,CUST3298,Hyderabad,2025-08-16 04:24:23.894866,Restaurant_171,Chinese,30,336.47,5.0,Rider_6
ORD100160,CUST3288,Hyderabad,2025-04-07 05:32:09.894866,Restaurant_128,Middle Eastern,34,133.34,4.0,Rider_207
ORD100161,CUST3971,Bengaluru,2025-07-12 00:22:57.894866,Restaurant_170,Continental,48,428.68,5.0,Rider_401
ORD100162,CUST1304,Kolkata,2025-07-13 23:23:06.894866,Restaurant_16,South Indian,16,92.93,5.0,Rider_420
ORD100163,CUST3604,Hyderabad,2025-06-07 22:52:09.894866,Restaurant_121,South Indian,25,199.59,5.0,Rider_218
ORD100164,CUST2611,Delhi,2024-12-26 22:47:46.894866,Restaurant_11,Chinese,34,254.74,5.0,Rider_318
ORD100165,CUST2642,Chennai,2025-09-24 07:39:49.894866,Restaurant_88,Chinese,30,234.34,5.0,Rider_187
ORD100166,CUST2017,Delhi,2025-03-20 12:01:11.894866,Restaurant_104,Italian,59,1054.26,4.0,Rider_450
ORD100167,CUST1990,Bengaluru,2025-01-30 22:12:16.894866,Restaurant_63,South Indian,44,126.37,5.0,Rider_496
ORD100168,CUST2595,Bengaluru,2024-12-08 08:25:27.894866,Restaurant_200,Chinese,40,298.27,5.0,Rider_181
ORD100169,CUST2463,Hyderabad,2025-06-27 11:36:54.894866,Restaurant_119,Continental,38,642.13,4.0,Rider_493
ORD100170,CUST2511,Chennai,2025-07-29 19:01:35.894866,Restaurant_31,Continental,43,618.89,4.0,Rider_267
ORD100171,CUST2521,Hyderabad,2024-11-29 21:43:49.894866,Restaurant_198,Chinese,61,360.74,5.0,Rider_107
ORD100172,CUST3179,Ahmedabad,2025-05-29 13:32:14.894866,Restaurant_24,Italian,71,562.19,,Rider_112
ORD100173,CUST1375,Bengaluru,2025-02-14 13:02:28.894866,Restaurant_183,Fast Food,34,159.19,4.0,Rider_138
ORD100174,CUST2958,Mumbai,2025-07-17 19:58:55.894866,Restaurant_129,Middle Eastern,76,431.66,3.0,Rider_4
ORD100175,CUST2721,Chennai,2025-01-26 02:53:06.894866,Restaurant_166,South Indian,41,154.08,5.0,Rider_403
ORD100176,CUST1686,Hyderabad,2025-08-03 13:00:18.894866,Restaurant_184,South Indian,18,148.06,5.0,Rider_218
ORD100177,CUST1370,Delhi,2025-04-13 14:24:29.894866,Restaurant_174,Italian,39,269.31,5.0,Rider_310
ORD100178,CUST1154,Ahmedabad,2025-10-31 17:40:18.894866,Restaurant_134,Fast Food,34,229.62,5.0,Rider_423
ORD100179,CUST3292,Delhi,2025-01-13 00:40:58.894866,Restaurant_79,Indian,27,346.59,4.0,Rider_466
ORD100180,CUST3589,Pune,2025-03-28 14:14:49.894866,Restaurant_160,Middle Eastern,52,341.63,4.0,Rider_364
ORD100181,CUST1681,Bengaluru,2025-01-04 17:15:01.894866,Restaurant_82,Continental,38,535.08,5.0,Rider_86
ORD100182,CUST2859,Chennai,2025-10-27 22:02:55.894866,Restaurant_111,Continental,39,857.96,5.0,Rider_62
ORD100183,CUST3944,Pune,2025-10-10 01:34:25.894866,Restaurant_96,Italian,37,696.33,4.0,Rider_426
ORD100184,CUST3918,Delhi,2025-02-25 12:01:50.894866,Restaurant_140,Chinese,68,393.56,5.0,Rider_29
ORD100185,CUST2444,Kolkata,2025-07-22 01:33:53.894866,Restaurant_34,Chinese,29,328.28,4.0,Rider_207
ORD100186,CUST3720,Chennai,2025-09-18 19:49:24.894866,Restaurant_66,Middle Eastern,40,335.51,4.0,Rider_428
ORD100187,CUST1087,Hyderabad,2025-06-14 20:13:59.894866,Restaurant_172,Chinese,8,245.89,1.0,Rider_289
ORD100188,CUST2529,Bengaluru,2025-06-05 10:42:38.894866,Restaurant_86,Indian,25,270.58,5.0,Rider_426
ORD100189,CUST1012,Pune,2025-02-20 12:01:53.894866,Restaurant_21,Chinese,44,346.05,5.0,Rider_395
ORD100190,CUST3928,Ahmedabad,2024-12-27 14:42:37.894866,Restaurant_198,Indian,39,165.22,4.0,Rider_315
ORD100191,CUST2701,Pune,2025-10-17 21:41:23.894866,Restaurant_6,Italian,45,718.07,5.0,Rider_212
ORD100192,CUST2180,Mumbai,2025-10-18 12:56:58.894866,Restaurant_12,Indian,47,373.16,4.0,Rider_475
ORD100193,CUST1319,Hyderabad,2025-07-12 06:10:13.894866,Restaurant_132,Chinese,30,383.36,5.0,Rider_246
ORD100194,CUST1291,Mumbai,2025-03-27 15:49:20.894866,Restaurant_7,South Indian,36,305.25,4.0,Rider_371
ORD100195,CUST2639,Delhi,2025-03-31 03:32:53.894866,Restaurant_76,Chinese,42,367.02,5.0,Rider_143
ORD100196,CUST3670,Mumbai,2025-08-15 13:18:58.894866,Restaurant_73,Continental,53,602.77,4.0,Rider_249
ORD100197,CUST1772,Mumbai,2025-10-17 12:17:43.894866,Restaurant_7,Indian,63,254.48,4.0,Rider_131
ORD100198,CUST2683,Mumbai,2025-10-13 20:20:46.894866,Restaurant_47,Continental,23,488.99,5.0,Rider_464
ORD100199,CUST2500,Kolkata,2025-09-04 12:03:04.894866,Restaurant_22,Indian,60,249.55,3.0,Rider_28
ORD100200,CUST2674,Kolkata,2025-07-16 09:26:15.894866,Restaurant_155,Fast Food,35,114.43,5.0,Rider_116
ORD100201,CUST3887,Pune,2024-12-24 03:20:44.894866,Restaurant_38,Fast Food,29,174.73,2.0,Rider_437
ORD100202,CUST1923,Chennai,2025-01-21 12:14:19.894866,Restaurant_88,Fast Food,53,106.39,4.0,Rider_240
ORD100203,CUST2456,Bengaluru,2025-10-17 21:58:04.894866,Restaurant_14,Chinese,23,215.91,5.0,Rider_170
ORD100204,CUST3449,Hyderabad,2025-07-03 05:29:25.894866,Restaurant_168,Middle Eastern,34,614.9,5.0,Rider_15
ORD100205,CUST1157,Mumbai,2024-11-27 19:04:24.894866,Restaurant_100,Middle Eastern,56,607.92,3.0,Rider_40
ORD100206,CUST1383,Delhi,2024-12-30 19:54:07.894866,Restaurant_101,Indian,67,176.74,5.0,Rider_474
ORD100207,CUST1397,Kolkata,2025-07-24 20:50:19.894866,Restaurant_116,Fast Food,48,234.82,4.0,Rider_34
ORD100208,CUST3103,Ahmedabad,2024-11-25 21:41:10.894866,Restaurant_50,South Indian,23,158.81,5.0,Rider_36
ORD100209,CUST2096,Hyderabad,2025-01-21 10:26:29.894866,Restaurant_32,Italian,46,383.82,5.0,Rider_283
ORD100210,CUST1969,Hyderabad,2025-06-12 05:22:52.894866,Restaurant_69,Italian,29,743.65,5.0,Rider_398
ORD100211,CUST3807,Mumbai,2025-08-03 02:27:13.894866,Restaurant_194,Fast Food,27,111.05,4.0,Rider_242
ORD100212,CUST3520,Pune,2025-07-19 21:04:48.894866,Restaurant_87,Fast Food,61,67.4,5.0,Rider_131
ORD100213,CUST1193,Delhi,2025-02-13 13:13:56.894866,Restaurant_5,Middle Eastern,50,329.84,5.0,Rider_131
ORD100214,CUST2730,Delhi,2025-08-10 07:07:18.894866,Restaurant_122,Fast Food,38,142.08,1.0,Rider_87
ORD100215,CUST3844,Delhi,2025-02-18 08:10:44.894866,Restaurant_40,Italian,38,434.71,5.0,Rider_197
ORD100216,CUST1759,Mumbai,2025-03-22 22:18:25.894866,Restaurant_166,Fast Food,33,71.6,5.0,Rider_322
ORD100217,CUST2252,Kolkata,2025-08-23 19:47:08.894866,Restaurant_200,Continental,52,617.62,4.0,Rider_188
ORD100218,CUST1794,Bengaluru,2025-07-18 19:53:02.894866,Restaurant_190,South Indian,47,332.75,5.0,Rider_422
ORD100219,CUST3883,Mumbai,2025-09-29 19:07:13.894866,Restaurant_2,South Indian,66,221.11,5.0,Rider_484
